# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	6719
#@/user_id	winK
a 	阿	c=14 d=1.69988 t=6719
suo you 	所有	c=2 d=0.0536647 t=6719
ta 	他	c=10 d=0.790632 t=6719
ta 	她	c=7 d=0.191216 t=6719
ta 	它	c=7 d=0.454629 t=6719
ta dou 	她都	c=2 d=1.93707 t=5657
ta shi 	他是	c=1 d=0.57695 t=6719
tai 	太	c=5 d=0.0112769 t=6719
tai cao 	太草	c=1 d=1 t=6239
tai chang 	太长	c=2 d=0.175527 t=6719
tai ci 	台词	c=2 d=0.0432828 t=6719
tai dao 	太刀	c=1 d=0.22313 t=6719
tai duo 	太多	c=3 d=0.241714 t=6719
tai huai 	太坏	c=1 d=1 t=4928
tai shuang 	太爽	c=1 d=0.00131358 t=6719
tai zou 	抬走	c=1 d=0.442639 t=6719
tan 	谈	c=1 d=0.579842 t=6719
tan chu 	弹出	c=1 d=0.767206 t=6719
tao 	套	c=1 d=0.323033 t=6719
tao lu 	套路	c=5 d=4.78675 t=6719
tao lun 	讨论	c=2 d=0.819266 t=6719
tao yan 	讨厌	c=1 d=0.00814786 t=6719
tao zhe 	套着	c=1 d=1 t=6672
tao zhuang 	套装	c=1 d=0.000205513 t=6719
te shu 	特殊	c=2 d=0.529935 t=6719
teng xun 	腾讯	c=3 d=1.74252 t=6719
teng xun yun 	腾讯云	c=1 d=0.00603608 t=6719
ti 	提	c=1 d=0.0983256 t=6719
ti chu 	剔除	c=2 d=1.83946 t=6360
ti gong 	提供	c=1 d=1 t=5024
ti mian 	体面	c=1 d=1 t=6618
ti shi 	提示	c=1 d=0.00941925 t=6719
ti wen 	提问	c=2 d=1.9802 t=5123
ti xian zai 	体现在	c=1 d=0.0958472 t=6719
ti xing 	提醒	c=1 d=0.00016826 t=6719
ti yan 	体验	c=1 d=0.0510474 t=6719
tian 	天	c=1 d=1 t=5693
tian cai 	天才	c=2 d=0.0167501 t=6719
tian guo 	天国	c=2 d=1.00073 t=5917
tian jia 	添加	c=1 d=1 t=4314
tian qi 	天气	c=1 d=1 t=6579
tian zhen 	天真	c=1 d=1 t=5551
tiao 	调	c=2 d=0.463013 t=6719
tiao jian 	条件	c=1 d=0.00348252 t=6719
tiao ti 	挑剔	c=2 d=0.840002 t=6719
tiao zheng 	调整	c=1 d=0.00786762 t=6719
tie 	贴	c=3 d=0.109154 t=6719
tie ba 	贴吧	c=1 d=0.0378169 t=6719
tie dao 	铁道	c=1 d=0.0317456 t=6719
tie guo 	铁锅	c=1 d=0.40657 t=6719
ting 	停	c=1 d=1 t=5993
ting 	听	c=1 d=0.00210172 t=6719
ting 	挺	c=4 d=0.651537 t=6719
ting dong 	听懂	c=2 d=0.00110269 t=6719
ting guo 	听过	c=1 d=0.0330412 t=6719
ting hao 	挺好	c=1 d=0.263158 t=6719
ting hua 	听话	c=3 d=0.397111 t=6719
ting kan 	停刊	c=1 d=1 t=4926
ting shuo 	听说	c=1 d=1 t=5813
tong 	通	c=1 d=0.0761538 t=6719
tong bu 	同步	c=1 d=0.108609 t=6719
tong chang 	通常	c=2 d=0.0884781 t=6719
tong guo 	通过	c=3 d=0.0544757 t=6719
tong ju le 	同居了	c=1 d=1 t=5802
tong ling 	同龄	c=1 d=0.390628 t=6719
tong shi 	同时	c=5 d=0.140836 t=6719
tong si 	捅死	c=2 d=0.00106096 t=6719
tong xiao 	通宵	c=1 d=0.150318 t=6719
tong xue 	同学	c=1 d=0.501576 t=6719
tong yang 	同样	c=1 d=1 t=4541
tong yi ge 	同一个	c=1 d=1 t=5410
tou 	偷	c=1 d=0.447088 t=6719
tou 	头	c=1 d=0.255381 t=6719
tou 	投	c=2 d=0.891366 t=6719
tou fa 	头发	c=1 d=1 t=4935
tou piao 	投票	c=1 d=0.090718 t=6719
tou xian 	头衔	c=1 d=0.290835 t=6719
tou xiang 	头像	c=1 d=0.436049 t=6719
tou xu 	头绪	c=1 d=1 t=5956
tu 	吐	c=2 d=0.847894 t=6719
tu 	图	c=9 d=0.980199 t=6719
tu hei 	涂黑	c=2 d=1.99005 t=6538
tu po 	土坡	c=1 d=1 t=5677
tu po 	突破	c=2 d=1.96079 t=5713
tu ran 	突然	c=4 d=0.955997 t=6719
tu zhong 	图中	c=1 d=0.186374 t=6719
tuan dui 	团队	c=1 d=1 t=6541
tuan ti 	团体	c=1 d=0.453845 t=6719
tui 	推	c=13 d=0.929874 t=6719
tui chu 	退出	c=1 d=0.609571 t=6719
tui jian 	推荐	c=9 d=1.90268 t=6719
tui li 	推理	c=2 d=0.0030912 t=6719
tui shou 	推手	c=1 d=0.102284 t=6719
tui xia 	推下	c=1 d=0.000685748 t=6719
tui zi ji 	推自己	c=1 d=0.0228227 t=6719
tuo 	拖	c=2 d=0.000587711 t=6719
tuo lai 	拖来	c=1 d=0.715338 t=6719
tuo li 	脱离	c=1 d=0.722527 t=6719
tuo mao 	脱毛	c=1 d=1 t=6484
wa 	哇	c=2 d=0.373439 t=6719
wa o 	哇哦	c=1 d=1 t=6518
wa wa wa 	哇哇哇	c=1 d=0.000777055 t=6719
wai bao 	外包	c=1 d=0.0300468 t=6719
wai bu 	外部	c=2 d=0.987952 t=6719
wai di 	外地	c=1 d=0.0685632 t=6719
wai ke 	外壳	c=3 d=2.93143 t=6453
wai mai 	外卖	c=1 d=1 t=4709
wai pai 	外派	c=1 d=0.369723 t=6719
wai wang 	外网	c=1 d=0.0675424 t=6719
wan 	丸	c=2 d=1.30497 t=6719
wan 	完	c=9 d=0.370242 t=6719
wan 	玩	c=10 d=0.705188 t=6719
wan cheng 	完成	c=1 d=0.00100276 t=6719
wan jie 	完结	c=2 d=0.00802865 t=6719
wan le 	完了	c=1 d=0.118837 t=6719
wan shang 	晚上	c=1 d=0.65377 t=6719
wan shi 	万事	c=1 d=0.0934807 t=6719
wan shi 	完事	c=1 d=0.0939493 t=6719
wan wu 	万物	c=1 d=0.055299 t=6719
wan xiao 	玩笑	c=1 d=1 t=6684
wan yi 	玩意	c=6 d=0.453594 t=6719
wan zhe 	玩着	c=1 d=0.024234 t=6719
wan zheng 	完整	c=3 d=0.0788672 t=6719
wang 	王	c=1 d=1 t=4358
wang 	网	c=4 d=0.0340362 t=6719
wang ka 	网卡	c=14 d=1.63407 t=6719
wang le 	忘了	c=1 d=0.0203434 t=6719
wang luo 	网络	c=13 d=0.902542 t=6719
wang shang 	网上	c=2 d=0.276976 t=6719
wang ye 	网页	c=3 d=1.31458 t=6719
wang zhan 	网站	c=1 d=0.400517 t=6719
wei 	为	c=7 d=0.245416 t=6719
wei 	位	c=1 d=1 t=6480
wei 	微	c=1 d=0.460704 t=6719
wei ai 	为爱	c=1 d=0.00021605 t=6719
wei chi 	维持	c=1 d=0.0366992 t=6719
wei dao 	味道	c=1 d=0.618783 t=6719
wei lai 	未来	c=2 d=0.0706512 t=6719
wei ruan 	微软	c=2 d=0.0739031 t=6719
wei sha 	为啥	c=6 d=0.226342 t=6719
wei shen me 	为什么	c=2 d=0.0290145 t=6719
wei tiao 	微调	c=1 d=0.479505 t=6719
wei xin 	微信	c=2 d=0.596258 t=6719
wei yong 	未用	c=1 d=1 t=5672
wen 	文	c=1 d=0.0288686 t=6719
wen 	问	c=4 d=0.57695 t=6719
wen 	闻	c=2 d=0.574859 t=6719
wen ben 	文本	c=1 d=1 t=6086
wen dang 	文档	c=12 d=0.32601 t=6719
wen ding 	稳定	c=6 d=0.0962522 t=6719
wen jian 	文件	c=10 d=0.981532 t=6719
wen ti 	问题	c=10 d=0.937065 t=6719
wen wen 	问问	c=1 d=1 t=6455
wen wo 	问我	c=1 d=0.431711 t=6719
wen yi 	文艺	c=1 d=0.111917 t=6719
wen yi xia 	问一下	c=2 d=0.244143 t=6719
wo 	喔	c=1 d=1 t=6492
wo 	我	c=39 d=2.27514 t=6719
wo bu shi 	我不是	c=1 d=1 t=4789
wo chao 	我超	c=14 d=1.26032 t=6719
wo de 	我的	c=1 d=0.408608 t=6719
wo fa xian 	我发现	c=2 d=0.0257325 t=6719
wo jiu 	我就	c=1 d=0.571209 t=6719
wo jiu wen 	我就问	c=1 d=1 t=4775
wo kan 	我看	c=1 d=1 t=5086
wo shi 	我是	c=2 d=0.279431 t=6719
wo shuo 	我说	c=2 d=0.213312 t=6719
wo ta ma 	我他妈	c=1 d=1 t=4605
wo tui 	我推	c=1 d=0.0153752 t=6719
wo wo wo 	喔喔喔	c=1 d=0.19398 t=6719
wo xiang 	我想	c=1 d=1 t=5771
wo xuan bu 	我宣布	c=1 d=0.000911882 t=6719
wo ye shi 	我也是	c=1 d=0.0118551 t=6719
wu 	无	c=3 d=0.158025 t=6719
wu dao 	舞蹈	c=1 d=0.127454 t=6719
wu dao qu 	舞蹈区	c=1 d=0.126186 t=6719
wu fa 	无法	c=3 d=0.251102 t=6719
wu fei 	无非	c=2 d=0.00902655 t=6719
wu fei lai 	无非来	c=1 d=0.090718 t=6719
wu feng 	无缝	c=1 d=0.0724398 t=6719
wu liao 	无聊	c=1 d=1 t=5471
wu lin wai zhuan 	武林外传	c=2 d=1.99501 t=5464
wu neng 	无能	c=3 d=2.97521 t=4912
wu qi 	武器	c=1 d=0.00436124 t=6719
wu ran 	污染	c=1 d=1 t=6246
wu shi 	五十	c=1 d=0.348192 t=6719
wu shi 	武士	c=1 d=0.224249 t=6719
wu suo wei 	无所谓	c=1 d=0.0271874 t=6719
wu yi 	无益	c=1 d=1 t=5399
wu yu 	物语	c=1 d=0.00980366 t=6719
wu yue 	五月	c=1 d=1 t=5029
wu zhong 	物种	c=1 d=1 t=5617
xi fang 	西方	c=2 d=0.163654 t=6719
xi huan 	喜欢	c=3 d=0.0131401 t=6719
xi jie 	细节	c=6 d=0.726499 t=6719
xi ju 	喜剧	c=2 d=1.89583 t=5438
xi kan 	细看	c=2 d=0.402786 t=6719
xi lie 	系列	c=1 d=1 t=4293
xi te le 	希特勒	c=1 d=0.202909 t=6719
xi tong 	系统	c=7 d=0.444767 t=6719
xia 	下	c=11 d=1.40634 t=6719
xia 	瞎	c=1 d=1 t=4948
xia bian 	瞎编	c=1 d=0.00923273 t=6719
xia ci 	下次	c=1 d=0.101774 t=6719
xia lai 	下来	c=2 d=0.00211225 t=6719
xia mian 	下面	c=1 d=0.774916 t=6719
xia wu 	下午	c=3 d=0.0190631 t=6719
xia yi ge 	下一个	c=2 d=0.438235 t=6719
xia yi ke 	下一刻	c=1 d=0.327915 t=6719
xia zai 	下载	c=16 d=0.634375 t=6719
xian 	先	c=9 d=1.26472 t=6719
xian bei 	先辈	c=2 d=0.0357931 t=6719
xian chang 	现场	c=2 d=0.683596 t=6719
xian de 	显得	c=1 d=0.25924 t=6719
xian e 	限额	c=1 d=0.0916297 t=6719
xian ka 	显卡	c=1 d=0.0183156 t=6719
xian mu 	羡慕	c=1 d=0.000769323 t=6719
xian shi 	显示	c=2 d=0.00568457 t=6719
xian shi 	现实	c=1 d=0.0306538 t=6719
xian shi li 	现实里	c=1 d=0.139457 t=6719
xian shui 	先睡	c=1 d=0.0119742 t=6719
xian su 	限速	c=2 d=0.092089 t=6719
xian xia 	仙侠	c=1 d=1 t=5898
xian zai 	现在	c=15 d=0.50038 t=6719
xian zhe 	闲着	c=1 d=1 t=5465
xian zhi 	限制	c=4 d=0.061021 t=6719
xiang 	像	c=7 d=0.312451 t=6719
xiang 	想	c=12 d=1.55897 t=6719
xiang 	香	c=1 d=0.0327124 t=6719
xiang ban fa 	想办法	c=1 d=1 t=6015
xiang duo 	想多	c=2 d=0.00794669 t=6719
xiang fa 	想法	c=1 d=0.323033 t=6719
xiang gang 	香港	c=1 d=1 t=4560
xiang guan 	相关	c=1 d=1 t=5377
xiang guo 	想过	c=1 d=1 t=6703
xiang ji 	相机	c=1 d=0.264477 t=6719
xiang mu 	项目	c=2 d=0.814647 t=6719
xiang shou 	享受	c=1 d=0.438235 t=6719
xiang xi 	详细	c=2 d=0.113467 t=6719
xiang xiang 	想想	c=1 d=1 t=5782
xiang xiang 	想象	c=1 d=1 t=6045
xiang xin 	相信	c=3 d=0.633982 t=6719
xiang zhe 	想着	c=1 d=0.444858 t=6719
xiao 	小	c=7 d=0.800633 t=6719
xiao 	晓	c=1 d=0.000227127 t=6719
xiao 	笑	c=2 d=0.278037 t=6719
xiao bai 	小白	c=1 d=0.000166586 t=6719
xiao bu fen 	小部分	c=1 d=0.532592 t=6719
xiao cheng xu 	小程序	c=1 d=0.177284 t=6719
xiao fei 	小费	c=1 d=1 t=4354
xiao guo 	效果	c=1 d=0.148823 t=6719
xiao hai 	小孩	c=1 d=0.00822975 t=6719
xiao hei zi 	小黑子	c=2 d=1.9802 t=6490
xiao hua ni 	笑话你	c=2 d=0.571724 t=6719
xiao huo jian 	小火箭	c=2 d=0.301194 t=6719
xiao jie jie 	小姐姐	c=1 d=1 t=5930
xiao mi 	小米	c=1 d=1 t=6413
xiao shi 	小时	c=2 d=0.278037 t=6719
xiao shi hou 	小时候	c=1 d=1 t=6714
xiao shuo 	小说	c=4 d=0.116484 t=6719
xiao si 	笑死	c=7 d=0.914982 t=6719
xiao xi 	消息	c=2 d=0.941765 t=6719
xiao xian nv 	小仙女	c=1 d=0.0944202 t=6719
xiao xin 	小心	c=2 d=0.0889216 t=6719
xiao xue 	小穴	c=1 d=0.275271 t=6719
xiao yuan wang 	校园网	c=2 d=1.98511 t=6284
xiao zi 	孝子	c=1 d=0.927743 t=6719
xie 	些	c=4 d=0.0342065 t=6719
xie 	写	c=16 d=1.43836 t=6719
xie 	泄	c=2 d=0.891366 t=6719
xie 	谢	c=1 d=0.0424257 t=6719
xie bu hao 	写不好	c=1 d=1 t=6659
xie hao 	写好	c=1 d=0.00594622 t=6719
xie lou 	泄露	c=5 d=1.14609 t=5183
xie xie 	谢谢	c=1 d=0.000161662 t=6719
xie zai 	卸载	c=1 d=0.00554422 t=6719
xin 	心	c=3 d=0.0101529 t=6719
xin 	新	c=10 d=1.00551 t=6719
xin ren 	信任	c=1 d=0.0137049 t=6719
xin si 	心思	c=1 d=0.869358 t=6719
xin xi 	信息	c=1 d=0.00878245 t=6719
xing 	星	c=5 d=0.223479 t=6719
xing 	行	c=4 d=0.932394 t=6719
xing cheng 	形成	c=1 d=0.336216 t=6719
xing ji 	星际	c=2 d=0.181772 t=6719
xing neng 	性能	c=3 d=0.906054 t=6719
xing qu 	兴趣	c=1 d=1 t=5457
xing shi 	形式	c=1 d=1 t=4855
xing yun 	幸运	c=1 d=0.650509 t=6719
xiong di 	兄弟	c=1 d=0.17552 t=6719
xiong di men 	兄弟们	c=1 d=0.238115 t=6719
xiu 	秀	c=1 d=1 t=5727
xiu kan 	休刊	c=1 d=1 t=4927
xu ni 	虚拟	c=10 d=0.623122 t=6719
xu ni ji 	虚拟机	c=1 d=1 t=5675
xu qiu 	需求	c=1 d=1 t=5505
xu yao 	需要	c=7 d=0.144363 t=6719
xuan 	炫	c=1 d=1 t=6574
xuan bu 	宣布	c=0 d=9.07334e-05 t=6719
xuan ku 	炫酷	c=1 d=1 t=4938
xuan shou 	选手	c=2 d=1.9802 t=6505
xuan ya 	悬崖	c=1 d=0.000689186 t=6719
xuan ze 	选择	c=4 d=0.640354 t=6719
xuan zhong 	选中	c=1 d=1 t=5266
xuan zhuan 	旋转	c=1 d=0.99005 t=6719
xue 	学	c=1 d=0.0235177 t=6719
xue 	雪	c=10 d=4.54668 t=6719
xue hui 	学会	c=2 d=0.0819495 t=6719
xue sheng 	学生	c=1 d=0.00683978 t=6719
xue xi 	学习	c=1 d=1 t=5242
xue xiao 	学校	c=1 d=1 t=5600
xue xie 	雪鞋	c=1 d=1 t=5366
xue ya 	血压	c=1 d=0.136014 t=6719
xun chang 	寻常	c=1 d=1 t=4894
xun lei 	迅雷	c=1 d=0.031117 t=6719
xun zhao 	寻找	c=1 d=1 t=4562
ya bai 	牙白	c=1 d=0.000825105 t=6719
ya mao 	鸭毛	c=1 d=1 t=4988
ya suo 	压缩	c=1 d=0.477114 t=6719
ya yi 	亚裔	c=1 d=1 t=6612
yan 	眼	c=1 d=1 t=5688
yan chang hui 	演唱会	c=4 d=0.146477 t=6719
yan chi 	延迟	c=6 d=0.0057994 t=6719
yan jin yu ci 	言尽于此	c=1 d=1 t=4715
yan li 	眼里	c=1 d=1 t=6476
yan se 	颜色	c=1 d=1 t=4944
yan yi 	演绎	c=1 d=1 t=6093
yan yi quan 	演艺圈	c=1 d=0.000754089 t=6719
yang 	样	c=1 d=0.687289 t=6719
yang cong 	洋葱	c=1 d=0.0675424 t=6719
yang tai 	阳台	c=1 d=1 t=6515
yang zi 	样子	c=1 d=0.0244775 t=6719
yao 	摇	c=1 d=0.124307 t=6719
yao 	要	c=29 d=3.07317 t=6719
yao bu yao 	要不要	c=1 d=0.392586 t=6719
yao gun 	摇滚	c=0 d=0.00804596 t=6719
yao kan 	要看	c=1 d=0.873716 t=6719
yao niang 	药娘	c=1 d=0.160414 t=6719
yao qiu 	要求	c=4 d=0.377192 t=6719
yao shu 	妖术	c=1 d=0.0471227 t=6719
yao si 	要死	c=1 d=0.00562801 t=6719
yao wo shuo 	要我说	c=1 d=0.778801 t=6719
yao yan 	耀眼	c=1 d=1 t=5823
ye 	也	c=29 d=1.06034 t=6719
ye 	叶	c=1 d=0.136695 t=6719
ye 	夜	c=1 d=1 t=5401
ye 	野	c=2 d=1.93239 t=5834
ye bei 	也被	c=1 d=1 t=6245
ye cha bu duo 	也差不多	c=1 d=0.267135 t=6719
ye hui 	也会	c=1 d=1 t=5045
ye jiu 	也就	c=2 d=0.559898 t=6719
ye jiu shi 	也就是	c=2 d=0.0121552 t=6719
ye lu sa leng 	耶路撒冷	c=1 d=0.165299 t=6719
ye mian 	页面	c=1 d=0.839457 t=6719
ye neng yong 	也能用	c=1 d=0.634448 t=6719
ye ren 	野人	c=3 d=0.262419 t=6719
ye shi 	也是	c=13 d=0.966489 t=6719
ye wu 	业务	c=1 d=0.247833 t=6719
ye xing 	也行	c=2 d=0.0141664 t=6719
ye you 	也有	c=4 d=0.946485 t=6719
ye you 	页游	c=2 d=1.8825 t=5899
yi 	一	c=8 d=0.939125 t=6719
yi 	依	c=5 d=0.109906 t=6719
yi 	已	c=2 d=1.12246 t=6090
yi bai 	一百	c=1 d=0.895834 t=6719
yi ban 	一半	c=1 d=0.00670434 t=6719
yi ban 	一般	c=1 d=1 t=5510
yi bian 	一边	c=2 d=1.97045 t=4744
yi bo 	一波	c=2 d=0.199678 t=6719
yi chu 	移除	c=1 d=1 t=4471
yi chu lai 	溢出来	c=1 d=0.621885 t=6719
yi ci 	一次	c=1 d=1 t=6708
yi ci xing 	一次性	c=1 d=1 t=5112
yi dao 	一刀	c=1 d=1 t=6513
yi di 	异地	c=1 d=0.366045 t=6719
yi dian 	一点	c=6 d=0.94179 t=6719
yi ding 	一定	c=2 d=0.0397558 t=6719
yi dong 	移动	c=3 d=0.429557 t=6719
yi dong bu dong 	一动不动	c=1 d=1 t=6051
yi duan 	一段	c=2 d=1.00044 t=5988
yi dui 	一堆	c=3 d=1.00994 t=5596
yi dui 	一对	c=2 d=0.298197 t=6719
yi fu 	衣服	c=1 d=1 t=6668
yi ge 	一个	c=29 d=2.40755 t=6719
yi ge ren 	一个人	c=2 d=0.402524 t=6719
yi ge yue 	一个月	c=2 d=1.7788 t=6175
yi hou 	以后	c=1 d=1 t=5239
yi hui er 	一会儿	c=1 d=1 t=5994
yi huo 	异或	c=1 d=0.0608101 t=6719
yi ji 	一集	c=5 d=0.144373 t=6719
yi ji 	以及	c=5 d=0.0720632 t=6719
yi jia 	一家	c=1 d=0.0213864 t=6719
yi jian shi 	一件事	c=1 d=0.171187 t=6719
yi jian zhong qing 	一见钟情	c=1 d=1 t=5435
yi jin 	已近	c=2 d=0.0675862 t=6719
yi jing 	已经	c=12 d=1.13577 t=6719
yi jing shi 	已经是	c=1 d=0.00740944 t=6719
yi ju 	移居	c=2 d=1.19514 t=6719
yi kai shi 	一开始	c=1 d=0.481909 t=6719
yi kan 	一看	c=1 d=0.0581343 t=6719
yi mo yi yang 	一模一样	c=1 d=1 t=6586
yi nian 	一年	c=1 d=1 t=6139
yi nian duo 	一年多	c=1 d=1 t=6141
yi qi 	一起	c=2 d=0.0231259 t=6719
yi sheng 	医生	c=1 d=0.522046 t=6719
yi shi 	意识	c=1 d=0.169483 t=6719
yi shi ban hui 	一时半会	c=1 d=0.0958472 t=6719
yi shi jian 	一时间	c=1 d=1 t=6508
yi shi jie 	异世界	c=4 d=0.995012 t=6719
yi shu 	艺术	c=2 d=1 t=6719
yi shuo hua 	一说话	c=1 d=0.582748 t=6719
yi si 	意思	c=4 d=0.730296 t=6719
yi wei 	一位	c=1 d=1 t=6575
yi wei 	以为	c=4 d=0.00266677 t=6719
yi xia 	一下	c=15 d=1.4016 t=6719
yi xia 	以下	c=1 d=0.0706512 t=6719
yi xiang qing yuan 	一厢情愿	c=1 d=0.585669 t=6719
yi xiao 	一小	c=1 d=0.249075 t=6719
yi xiao bu fen 	一小部分	c=1 d=0.937067 t=6719
yi yan 	一眼	c=1 d=0.70822 t=6719
yi yang 	一样	c=3 d=0.292293 t=6719
yi yi 	意义	c=1 d=0.0930145 t=6719
yi yi shang 	意义上	c=1 d=0.546074 t=6719
yi zhang 	一张	c=3 d=0.790571 t=6719
yi zhi 	一直	c=1 d=0.00180897 t=6719
yi zhong 	一种	c=1 d=0.625002 t=6719
yin 	音	c=1 d=0.0372538 t=6719
yin pin 	音频	c=1 d=0.0141223 t=6719
yin qing 	引擎	c=1 d=0.147342 t=6719
yin tui 	隐退	c=2 d=1.99501 t=5838
yin wei 	因为	c=18 d=2.03031 t=6719
yin xiang 	印象	c=1 d=1 t=4575
ying 	樱	c=1 d=1 t=6310
ying 	硬	c=1 d=0.154124 t=6719
ying 	赢	c=1 d=1 t=5809
ying dang 	应当	c=1 d=1 t=5302
ying gai 	应该	c=16 d=0.674211 t=6719
ying jie sheng 	应届生	c=1 d=1 t=4919
ying pan 	硬盘	c=3 d=0.447939 t=6719
ying wen 	英文	c=1 d=1 t=4622
ying xiong 	英雄	c=1 d=0.0284388 t=6719
ying yong 	应用	c=3 d=0.238115 t=6719
yong 	勇	c=1 d=0.308819 t=6719
yong 	用	c=39 d=3.03196 t=6719
yong ai fa dian 	用爱发电	c=2 d=1.16886 t=6719
yong bu liao 	用不了	c=1 d=1 t=6006
yong bu yong 	用不用	c=1 d=1 t=5566
yong dao 	用到	c=1 d=1 t=5235
yong guo 	用过	c=4 d=0.0614212 t=6719
yong lai 	用来	c=1 d=0.000164928 t=6719
yong qi lai 	用起来	c=2 d=1.00131 t=6285
yong yi 	泳衣	c=1 d=0.00078095 t=6719
yong you 	拥有	c=2 d=1.00865 t=6636
you 	优	c=1 d=0.0020601 t=6719
you 	又	c=11 d=1.91202 t=6719
you 	友	c=1 d=0.275271 t=6719
you 	有	c=51 d=4.12175 t=6719
you 	由	c=1 d=1 t=5335
you bian 	右边	c=3 d=0.755784 t=6719
you bian 	邮编	c=1 d=0.752014 t=6719
you bu shi 	又不是	c=2 d=1.97045 t=5603
you dian 	有点	c=3 d=0.492117 t=6719
you ge 	有个	c=2 d=0.499074 t=6719
you guan 	油管	c=2 d=1.00212 t=5784
you ju hua 	有句话	c=1 d=0.0800583 t=6719
you kong 	有空	c=1 d=0.0120946 t=6719
you li 	有力	c=0 d=0.000782838 t=6719
you mei you 	有没有	c=9 d=0.779735 t=6719
you nao zi 	有脑子	c=1 d=0.140156 t=6719
you qi 	尤其	c=1 d=0.38868 t=6719
you qi 	油漆	c=1 d=0.386741 t=6719
you ren 	有人	c=3 d=0.832207 t=6719
you sha 	有啥	c=3 d=0.018043 t=6719
you shei 	有谁	c=1 d=0.239309 t=6719
you wu 	有无	c=2 d=0.440432 t=6719
you xi 	有戏	c=1 d=0.806541 t=6719
you xi 	游戏	c=18 d=1.23145 t=6719
you xian ji 	优先级	c=2 d=0.184356 t=6719
you xie 	有些	c=1 d=0.810584 t=6719
you xie ren 	有些人	c=1 d=0.0672055 t=6719
you yong 	有用	c=2 d=0.142274 t=6719
you zhe zhong 	有这种	c=1 d=1 t=4882
you zhi 	幼稚	c=1 d=0.00778933 t=6719
yu 	于	c=2 d=1.00933 t=6257
yu 	御	c=2 d=0.0393868 t=6719
yu 	欲	c=1 d=0.000788798 t=6719
yu 	语	c=1 d=0.159614 t=6719
yu dao 	遇到	c=2 d=0.256661 t=6719
yu fa 	语法	c=4 d=2.9796 t=5396
yu fu 	迂腐	c=1 d=1 t=4897
yu lan 	预览	c=1 d=0.97531 t=6719
yu lan tu 	预览图	c=1 d=0.99005 t=6719
yu min 	渔民	c=1 d=0.704688 t=6719
yu ming 	域名	c=4 d=2.53219 t=6719
yu pan 	预判	c=2 d=0.0138865 t=6719
yu yan 	语言	c=2 d=0.191092 t=6719
yu yin 	语音	c=1 d=0.0792617 t=6719
yu zhou 	宇宙	c=1 d=0.0290133 t=6719
yuan 	怨	c=1 d=0.0728029 t=6719
yuan 	远	c=1 d=0.0992613 t=6719
yuan 	院	c=1 d=0.125556 t=6719
yuan ban 	原版	c=4 d=0.927743 t=6719
yuan ben 	原本	c=1 d=0.860708 t=6719
yuan cheng 	远程	c=3 d=0.0290265 t=6719
yuan chuang 	原创	c=1 d=0.0288686 t=6719
yuan ma 	源码	c=1 d=0.951229 t=6719
yuan qu 	原曲	c=1 d=0.0327124 t=6719
yuan sheng 	原生	c=1 d=1 t=4433
yuan tu 	原图	c=3 d=1.17801 t=6719
yuan wen 	原文	c=1 d=1 t=6259
yuan yi 	愿意	c=3 d=1.226 t=6719
yuan yin 	原因	c=1 d=1 t=5923
yuan zuo 	原作	c=4 d=0.0410537 t=6719
yue 	月	c=3 d=0.0334321 t=6719
yue di 	月底	c=1 d=1 t=5027
yue dui 	乐队	c=1 d=0.0569831 t=6719
yue duo 	越多	c=1 d=0.50409 t=6719
yue lai 	越来	c=1 d=0.501576 t=6719
yue xin 	月薪	c=1 d=1 t=4702
yun 	晕	c=1 d=0.0246002 t=6719
yun chang 	云长	c=1 d=1 t=6622
yun pan 	云盘	c=1 d=0.158817 t=6719
yun xing 	运行	c=2 d=0.0816756 t=6719
yun ying 	运营	c=3 d=1.46089 t=6719
za 	咋	c=1 d=0.13466 t=6719
zai 	再	c=7 d=0.358743 t=6719
zai 	在	c=55 d=4.18104 t=6719
zai hao 	再好	c=1 d=0.213312 t=6719
zai hu 	在乎	c=2 d=0.00618889 t=6719
zai li mian 	在里面	c=1 d=0.173774 t=6719
zai na 	在哪	c=2 d=0.00032882 t=6719
zai shuo 	再说	c=2 d=0.647265 t=6719
zai wo 	在我	c=1 d=0.315058 t=6719
zai xian 	在线	c=1 d=1 t=5222
zai xiao 	在笑	c=1 d=0.657047 t=6719
zai yi 	在意	c=1 d=0.436049 t=6719
zan shi 	暂时	c=1 d=0.0939493 t=6719
zan ting 	暂停	c=3 d=0.21506 t=6719
zao 	早	c=4 d=0.926467 t=6719
zao gao 	糟糕	c=1 d=1 t=6108
zao nian 	早年	c=1 d=0.83527 t=6719
zao qian 	早前	c=1 d=0.0204453 t=6719
zao yu 	遭遇	c=1 d=0.537944 t=6719
zen me 	怎么	c=27 d=0.731752 t=6719
zen me shuo 	怎么说	c=1 d=1 t=4339
zen me yang 	怎么样	c=1 d=1 t=4694
zeng jia 	增加	c=1 d=1 t=4312
zeng qiang 	增强	c=1 d=1 t=4469
zha 	炸	c=1 d=0.0106202 t=6719
zha dan 	炸弹	c=1 d=0.263158 t=6719
zha yi ting 	乍一听	c=1 d=0.0397558 t=6719
zhai 	斋	c=1 d=1 t=5798
zhan 	站	c=10 d=0.761697 t=6719
